cname majorName collage studygrade
模式识别 机器学习与模式识别 人工智能学院 2021
深度学习模型设计与分析 机器学习与模式识别 人工智能学院 2021
计算机视觉基础 机器学习与模式识别 人工智能学院 2020
目标检测过程与应用 机器学习与模式识别 人工智能学院 2019
计算机视觉原理 计算机视觉 人工智能学院 2021
OpenCV应用开发 计算机视觉 人工智能学院 2020
QT界面开发 计算机视觉 人工智能学院 2020 
模式识别视觉应用 计算机视觉 人工智能学院 2019
目标检测原理与实现 计算机视觉 人工智能学院 2021
3D建模软件应用 计算机视觉 人工智能学院  2020
网络模型设计与分析 深度学习应用 人工智能学院 2020
移动端模型应用与部署 深度学习应用 人工智能学院 2020
深度学习框架设计原理 深度学习应用 人工智能学院 2019
模型训练与性能优化 深度学习应用 人工智能学院 2019
自动控制原理 自动驾驶技术 人工智能学院 2021
现代控制理论 自动驾驶技术 人工智能学院 2021
智能控制 自动驾驶技术 人工智能学院 2020
SLAM视觉技术 自动驾驶技术 人工智能学院 2019
三维模型建模 自动驾驶技术 人工智能学院 2020
分布式架构 智能系统 人工智能学院 2021
系统思维理论 智能系统 人工智能学院 2020
云服务技术 智能系统 人工智能学院 2019
分布式深度学习技术 智能系统 人工智能学院 2019
体育教育理论 体育教育 体育科学学院 2021
篮球基本技术 篮球专项 体育科学学院 2022
篮球进阶技术 篮球专项 体育科学学院 2021
篮球战术策略理论 篮球专项 体育科学学院 2020
潜水与潜泳技术 水下运动专项 体育科学学院 2022
游泳技术 水下运动专项 体育科学学院 2021
水下救援 水下运动专项 体育科学学院 2020
人体结构学 人体科学 体育科学学院 2020
运动康复理论 运动康复 体育科学学院 2020
健身理论 健身体育 体育科学学院 2020
纳米基础科学 纳米科学 生物与纳米科学学院 2020
生物进化论 生物科学 生物与纳米科学学院 2020
化学原理 基础化学 化学化工学院 2021
化学技术概论 应用化学 化学化工学院 2020
基础物理 基础物理 物理科学学院 2021
量子力学 基础物理 物理科学学院 2020
应用物理学 应用物理 物理科学学院 2021
理论数学 基础数学 数学与统计学院 2021
相对论基础 基础数学 数学与统计学院 2020
应用数学概论 应用数学 数学与统计学院 2020
管理学 管理与统计 数学与统计学院 2021
统计与管理概论 管理与统计 数学与统计学院 2020
电工技巧 电气工程 电子电气工程学院 2021
电气工程理论 电气工程 电子电气工程学院 2020
现代控制理论 自动化控制工程 电子电气工程学院 2021
智能控制基础 自动化控制工程 电子电气工程学院 2020
自动机床精密控制 自动化控制工程 电子电气工程学院 2020
油画基础 油画学 美术与设计学院 2021
油画进阶油画学 美术与设计学院 2020
服装学 服装设计 美术与设计学院 2021
平面设计理论 平面设计艺术 美术与设计学院 2020
国画基础 国画 美术与设计学院 2021
国画进阶 国画 美术与设计学院 2020
飞行器架构 飞行器设计 航空航天工程学院 2020
发动机结构 发动机制造 航空航天工程学院 2020
智能控制理论 飞行器智能运控 航空航天工程学院 2020
软件工程理论 软件工程 计算机科学与技术学院 2021
设计模式 软件工程 计算机科学与技术学院 2021
单片机开发 计算机科学与技术 计算机科学与技术学院 2020
C#开发 计算机科学与技术 计算机科学与技术学院 2020
大数据概论 大数据分析应用 计算机科学与技术学院 2021
数据库原理 大数据分析应用 计算机科学与技术学院 2020
机器学习 人工智能 计算机科学与技术学院 2020
深度学习 人工智能 计算机科学与技术学院 2020
人工智能算法应用 人工智能 计算机科学与技术学院 2019
舞蹈基础 舞蹈艺术 音乐与舞蹈学院 2021
舞蹈进阶 舞蹈艺术 音乐与舞蹈学院 2020
钢琴基础 钢琴艺术 音乐与舞蹈学院 2021
钢琴进阶 钢琴艺术 音乐与舞蹈学院 2020
艺术教育学 音乐教育 音乐与舞蹈学院 2021
钢琴基础 音乐教育 音乐与舞蹈学院 2021
艺术教育学 舞蹈教育 音乐与舞蹈学院 2020
舞蹈基础 舞蹈教育 音乐与舞蹈学院 2021
体操艺术 体操学 音乐与舞蹈学院 2021
歌唱艺术 歌唱学 音乐与舞蹈学院 2020
